,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_feature_fraction,param_learning_rate,param_max_bins,param_max_depth,param_n_estimators,param_num_leaves,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
66,0.26766018867492675,0.037459202449993984,0.006691694259643555,0.0005934367268513648,0.9,0.9,0.01,20,9,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 10}",0.613308556844119,0.6035155979922459,0.6417194149432675,0.5996632854838735,0.5804958082717003,0.6077405327070412,0.0200545971608533,1
33,3.4666021347045897,0.5224796349718894,0.062023162841796875,0.009173840970533921,0.9,0.9,0.001,20,9,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 10}",0.6112127222643196,0.60299422281476,0.6385096842752223,0.6025510198814292,0.5806960917823697,0.6071927482036201,0.018644874551067565,2
27,3.051451587677002,0.3125560974142936,0.056036758422851565,0.0035080008166582678,0.9,0.9,0.001,20,6,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 10}",0.6123548812591155,0.599884572587621,0.6382842814813809,0.6016453279980283,0.5814047505467933,0.6067147627745878,0.018662222985556195,3
67,0.4525439262390137,0.04167208538669007,0.00880289077758789,0.0008739816100218831,0.9,0.9,0.01,20,9,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 20}",0.611991053300532,0.5878754661502936,0.6484299195760393,0.5975869161473302,0.5848440070136529,0.6061454724375697,0.023164368025690208,4
60,0.29643840789794923,0.01825502028299094,0.007328462600708008,0.0007946325412557066,0.9,0.9,0.01,20,6,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 10}",0.6117999803044412,0.6023397596013156,0.6361846910493434,0.6015736380689367,0.5772252020228099,0.6058246542093694,0.01900305582212391,5
28,4.13729772567749,0.2744659058527966,0.08101129531860352,0.0022973154167885202,0.9,0.9,0.001,20,6,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 20}",0.6133543172348968,0.5897824771391901,0.6445876626060736,0.6039632544261991,0.5732098116708861,0.6049795046154491,0.024000997746653225,6
34,5.100545930862427,0.5845005370670999,0.09265832901000977,0.01294782254554222,0.9,0.9,0.001,20,9,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 20}",0.6152602889758891,0.580476853540002,0.6525063511209505,0.597320322880524,0.5785967595279009,0.6048321152090533,0.027274454203763766,7
92,0.27490954399108886,0.09932283418536486,0.008392953872680664,0.0020533088938905638,0.9,0.9,0.03,20,3,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 30}",0.6140503285430406,0.5931801176835215,0.6447152423502674,0.5815542827910261,0.5893422546107143,0.604568445195714,0.022772149604401496,8
91,0.2275460720062256,0.0340431434306474,0.007282447814941406,0.0008776689060164619,0.9,0.9,0.03,20,3,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 20}",0.6140503285430406,0.5931801176835215,0.6447152423502674,0.5815542827910261,0.5893422546107143,0.604568445195714,0.022772149604401496,8
90,0.2365671157836914,0.028660705414750565,0.008534812927246093,0.001108366762807681,0.9,0.9,0.03,20,3,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 10}",0.6140503285430406,0.5931801176835215,0.6447152423502674,0.5815542827910261,0.5893422546107143,0.604568445195714,0.022772149604401496,8
22,2.2209890365600584,0.1186149462566495,0.04652256965637207,0.0017903571769046843,0.9,0.9,0.001,20,3,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 20}",0.6061172656599065,0.6022162258226028,0.6407061387135791,0.6049484155313436,0.5675607844675379,0.604309766038994,0.02316567041593154,11
21,2.2738951206207276,0.15553681719774687,0.04749131202697754,0.0050067416393108684,0.9,0.9,0.001,20,3,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 10}",0.6061172656599065,0.6022162258226028,0.6407061387135791,0.6049484155313436,0.5675607844675379,0.604309766038994,0.02316567041593154,11
23,2.173775148391724,0.1316249820947624,0.04885363578796387,0.003939220604839324,0.9,0.9,0.001,20,3,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 30}",0.6061172656599065,0.6022162258226028,0.6407061387135791,0.6049484155313436,0.5675607844675379,0.604309766038994,0.02316567041593154,11
56,0.24052958488464354,0.04200821108850179,0.006103897094726562,0.00044126866159682434,0.9,0.9,0.01,20,3,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 30}",0.6077055626558217,0.6023554860134591,0.6388914310334223,0.6033373656320149,0.5667867419451578,0.6038153174559752,0.022886426988762528,14
55,0.2058104991912842,0.02131940101377065,0.007917690277099609,0.0024016797290431807,0.9,0.9,0.01,20,3,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 20}",0.6077055626558217,0.6023554860134591,0.6388914310334223,0.6033373656320149,0.5667867419451578,0.6038153174559752,0.022886426988762528,14
54,0.24848484992980957,0.05647501212305791,0.006165456771850586,0.0004368224865187386,0.9,0.9,0.01,20,3,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 10}",0.6077055626558217,0.6023554860134591,0.6388914310334223,0.6033373656320149,0.5667867419451578,0.6038153174559752,0.022886426988762528,14
61,0.48465566635131835,0.11892151462461592,0.008416032791137696,0.000962462377404818,0.9,0.9,0.01,20,6,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 20}",0.611795904987088,0.5855773158918929,0.640095080913092,0.6028855471223623,0.5745103593998878,0.6029728416628646,0.022665532983497164,17
62,0.5102635860443115,0.05029828238853045,0.01037898063659668,0.0020693562382248652,0.9,0.9,0.01,20,6,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 30}",0.6074289802964002,0.591628310857572,0.6404844426348373,0.5916233679176471,0.5776815549637787,0.6017693313340471,0.021526231949994926,18
29,4.890787982940674,0.2741518971481932,0.09936609268188476,0.01742397258788752,0.9,0.9,0.001,20,6,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 30}",0.6108714647758935,0.5950702008088333,0.6357158015641614,0.5890757063147861,0.5728744454812627,0.6007215237889874,0.02131029359435809,19
35,6.628810405731201,0.04173485052812299,0.10989165306091309,0.00416733641063738,0.9,0.9,0.001,20,9,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 30}",0.6123241143989997,0.5785217106515799,0.6374500235610949,0.5857661304257056,0.580310986229545,0.5988745930533851,0.02280189718472741,20
68,0.5463596820831299,0.05856725909757289,0.009412860870361328,0.0012965587846637027,0.9,0.9,0.01,20,9,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 30}",0.6187412949824429,0.5704299769075122,0.6346169343797953,0.5813702872777742,0.5783322602925454,0.5966981507680139,0.0252428233268511,21
5,2.328562116622925,0.15336798702606458,0.04638218879699707,0.005024154676095801,0.9,0.9,0.001,10,3,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 30}",0.5878470422181843,0.5974104467424256,0.6209678521739167,0.6003503023404824,0.560782785101551,0.593471685715312,0.019591167463069693,22
4,2.4264477252960206,0.3170994560066385,0.0476193904876709,0.004143012496492344,0.9,0.9,0.001,10,3,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 20}",0.5878470422181843,0.5974104467424256,0.6209678521739167,0.6003503023404824,0.560782785101551,0.593471685715312,0.019591167463069693,22
3,2.4708394527435305,0.14345342242472892,0.041703414916992185,0.0037884265280044385,0.9,0.9,0.001,10,3,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 10}",0.5878470422181843,0.5974104467424256,0.6209678521739167,0.6003503023404824,0.560782785101551,0.593471685715312,0.019591167463069693,22
36,0.20641770362854003,0.023805189815856685,0.008683109283447265,0.0027921622564395167,0.9,0.9,0.01,10,3,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 10}",0.5885029365381391,0.5957820439112702,0.6219590124756231,0.5998540163953242,0.5607163202888301,0.5933628659218373,0.019774442645607772,25
37,0.21589422225952148,0.02807121810775726,0.006748628616333008,0.0021412396529179745,0.9,0.9,0.01,10,3,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 20}",0.5885029365381391,0.5957820439112702,0.6219590124756231,0.5998540163953242,0.5607163202888301,0.5933628659218373,0.019774442645607772,25
38,0.23206043243408203,0.0381479121402447,0.007750225067138672,0.0016326738043633837,0.9,0.9,0.01,10,3,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 30}",0.5885029365381391,0.5957820439112702,0.6219590124756231,0.5998540163953242,0.5607163202888301,0.5933628659218373,0.019774442645607772,25
96,0.3888123035430908,0.1664799009739359,0.007902860641479492,0.0021789929380153054,0.9,0.9,0.03,20,6,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 10}",0.5990288969203457,0.5648519938583847,0.6402881560189608,0.5773964845780777,0.5762496548897122,0.5915630372530962,0.026752745626025413,28
42,0.295745849609375,0.020967530568706063,0.006668567657470703,0.00039320418244281354,0.9,0.9,0.01,10,6,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 10}",0.5977011985566665,0.5724802519112264,0.6266511801321378,0.5923603188048344,0.5594005583517968,0.5897187015513323,0.023026334173453816,29
48,0.3378561496734619,0.02603933458049919,0.007740306854248047,0.0012637733094696413,0.9,0.9,0.01,10,9,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 10}",0.597860932098155,0.5760092773039469,0.6243394281249739,0.5897563041817315,0.5565150467233062,0.5888961976864227,0.02259177055839946,30
9,3.192593002319336,0.299847622261718,0.055028676986694336,0.005733927956605995,0.9,0.9,0.001,10,6,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 10}",0.5975858995792624,0.5668812709720523,0.6214858623367191,0.5949451852831349,0.5628419213884834,0.5887480279119304,0.02162202558590879,31
15,3.1258948802948,0.18841451876912102,0.05468606948852539,0.004534254729491856,0.9,0.9,0.001,10,9,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 10}",0.5956429124184514,0.5699399493575167,0.6225326757765948,0.5912209940480119,0.5577571659573138,0.5874187395115776,0.02236246735291245,32
102,0.24721527099609375,0.019758937374534866,0.009741449356079101,0.003349204983170402,0.9,0.9,0.03,20,9,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 10}",0.5938965495108293,0.5551284662811538,0.6351661192688476,0.571160994750981,0.5785728589484428,0.586784997752051,0.027221284928951824,33
72,0.25082969665527344,0.07053656083418315,0.008077716827392578,0.002442065298079199,0.9,0.9,0.03,10,3,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 10}",0.5884128895514256,0.56447122547559,0.6227766985942829,0.5829015392104355,0.5697199146363268,0.5856564534936122,0.020473823510559472,34
73,0.19995980262756347,0.02394715060980805,0.00884246826171875,0.0032038455385453796,0.9,0.9,0.03,10,3,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 20}",0.5884128895514256,0.56447122547559,0.6227766985942829,0.5829015392104355,0.5697199146363268,0.5856564534936122,0.020473823510559472,34
74,0.19236598014831544,0.011378945945001643,0.007439708709716797,0.0013906487792690687,0.9,0.9,0.03,10,3,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 30}",0.5884128895514256,0.56447122547559,0.6227766985942829,0.5829015392104355,0.5697199146363268,0.5856564534936122,0.020473823510559472,34
